flight_id,flight_date,sched_dep_time,sched_arr_time,carrier_code,carrier,flight_number,origin,origin_name,origin_city,origin_country,dest,dest_name,dest_city,dest_country,distance_km,aircraft_type
EI7054-215386,2024-07-26,06:50,07:17,EI,Aer Lingus,EI7054,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
U24716-817912,2024-05-17,09:25,10:26,U2,easyJet,U24716,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Narrowbody
BA9023-052683,2024-06-26,15:05,15:18,BA,British Airways,BA9023,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
FR9702-585351,2024-04-11,14:45,15:03,FR,Ryanair,FR9702,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
EI3003-220953,2024-05-12,13:05,13:41,EI,Aer Lingus,EI3003,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
U22906-887759,2024-11-03,15:05,16:20,U2,easyJet,U22906,LCY,London City Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,627,Narrowbody
BA8790-934453,2024-03-15,16:45,17:48,BA,British Airways,BA8790,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
FR9335-603107,2024-11-15,18:45,19:53,FR,Ryanair,FR9335,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Narrowbody
FR8374-986672,2024-03-14,19:10,20:27,FR,Ryanair,FR8374,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Widebody
FR4058-462394,2024-09-01,07:50,08:03,FR,Ryanair,FR4058,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Widebody
U24421-664330,2024-01-24,06:30,07:22,U2,easyJet,U24421,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Narrowbody
EI7448-764202,2024-11-24,00:40,01:56,EI,Aer Lingus,EI7448,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
FR7381-589023,2024-07-19,13:35,14:39,FR,Ryanair,FR7381,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
U28505-665134,2024-06-18,10:40,11:14,U2,easyJet,U28505,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Widebody
FR6575-464244,2024-05-19,08:55,09:34,FR,Ryanair,FR6575,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody
EI5484-124737,2024-03-22,14:05,15:11,EI,Aer Lingus,EI5484,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
BA3323-690680,2024-11-04,16:35,17:19,BA,British Airways,BA3323,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Narrowbody
FR4640-109249,2024-11-20,01:45,02:55,FR,Ryanair,FR4640,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
EI303-616923,2024-12-21,22:45,23:09,EI,Aer Lingus,EI303,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Regional
EI5788-559593,2024-10-02,12:05,12:52,EI,Aer Lingus,EI5788,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Narrowbody
U26706-163560,2024-09-02,09:35,10:27,U2,easyJet,U26706,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Widebody
FR1108-175609,2024-07-02,16:50,17:52,FR,Ryanair,FR1108,BFS,Belfast International Airport,Belfast,United Kingdom,LCY,London City Airport,London,United Kingdom,546,Regional
FR0570-011309,2024-07-12,04:00,04:14,FR,Ryanair,FR0570,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Narrowbody
EI4615-434391,2024-10-07,06:15,07:15,EI,Aer Lingus,EI4615,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
BA3488-631584,2024-10-07,08:10,09:06,BA,British Airways,BA3488,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
U27590-780630,2024-05-09,00:55,02:00,U2,easyJet,U27590,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Widebody
BA2248-558604,2024-04-28,22:10,23:07,BA,British Airways,BA2248,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Regional
FR9016-559481,2024-01-12,15:45,16:44,FR,Ryanair,FR9016,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Regional
BA4075-198411,2024-03-14,18:35,19:33,BA,British Airways,BA4075,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Regional
FR2285-350353,2024-09-12,18:40,19:05,FR,Ryanair,FR2285,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
EI5701-876573,2024-01-05,06:15,06:54,EI,Aer Lingus,EI5701,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Regional
EI5193-597700,2024-12-29,12:25,13:21,EI,Aer Lingus,EI5193,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Regional
FR1548-738921,2024-08-23,10:15,10:54,FR,Ryanair,FR1548,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Regional
U24192-158368,2024-12-29,06:35,07:01,U2,easyJet,U24192,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Widebody
FR8880-135765,2024-08-24,07:40,08:43,FR,Ryanair,FR8880,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Narrowbody
BA3263-701436,2024-04-23,14:40,15:46,BA,British Airways,BA3263,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Widebody
EI3483-477593,2024-08-02,07:00,07:16,EI,Aer Lingus,EI3483,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
U2785-808329,2024-04-19,11:45,12:10,U2,easyJet,U2785,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
FR2104-540606,2024-04-26,18:45,19:43,FR,Ryanair,FR2104,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
U23458-868493,2024-04-17,10:50,11:40,U2,easyJet,U23458,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Regional
FR8444-710653,2024-11-04,11:35,12:32,FR,Ryanair,FR8444,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
EI7006-717761,2024-12-26,02:45,03:46,EI,Aer Lingus,EI7006,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Narrowbody
EI8410-838857,2024-09-19,03:20,03:44,EI,Aer Lingus,EI8410,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Narrowbody
EI1683-117419,2024-05-20,01:30,02:09,EI,Aer Lingus,EI1683,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Widebody
U24684-524183,2024-05-19,21:55,22:57,U2,easyJet,U24684,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
BA1395-202164,2024-07-10,13:10,13:38,BA,British Airways,BA1395,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Narrowbody
BA4341-593650,2024-02-16,20:15,21:24,BA,British Airways,BA4341,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Regional
U25685-096276,2024-04-14,16:20,16:50,U2,easyJet,U25685,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
EI9142-173789,2024-05-01,15:35,16:24,EI,Aer Lingus,EI9142,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Narrowbody
FR7781-039857,2024-07-16,12:55,14:04,FR,Ryanair,FR7781,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Regional
FR9896-814166,2024-02-18,14:45,15:12,FR,Ryanair,FR9896,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
BA1740-156350,2024-01-30,07:05,08:01,BA,British Airways,BA1740,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Narrowbody
FR1736-166954,2024-09-10,09:15,10:15,FR,Ryanair,FR1736,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Regional
U25008-224316,2024-09-20,08:15,09:11,U2,easyJet,U25008,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Regional
FR0432-779277,2024-12-09,04:40,04:56,FR,Ryanair,FR0432,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Regional
EI8705-287239,2024-04-23,09:40,09:56,EI,Aer Lingus,EI8705,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
U26928-273366,2024-02-02,07:10,08:18,U2,easyJet,U26928,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Widebody
BA1810-423962,2024-02-06,07:50,08:54,BA,British Airways,BA1810,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Narrowbody
FR7604-764651,2024-02-05,11:35,12:14,FR,Ryanair,FR7604,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
EI365-148103,2024-06-15,11:25,11:51,EI,Aer Lingus,EI365,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
EI544-597648,2024-11-04,00:15,01:16,EI,Aer Lingus,EI544,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Regional
BA3931-598082,2024-05-06,09:35,10:33,BA,British Airways,BA3931,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Narrowbody
EI1662-900796,2024-07-20,20:25,21:38,EI,Aer Lingus,EI1662,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
U21629-819816,2024-06-27,13:50,15:04,U2,easyJet,U21629,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
U25296-765953,2024-02-25,02:15,02:43,U2,easyJet,U25296,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
FR7469-241537,2024-08-07,04:10,04:26,FR,Ryanair,FR7469,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Narrowbody
EI9232-153049,2024-11-18,15:05,15:41,EI,Aer Lingus,EI9232,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Narrowbody
U20824-099853,2024-10-04,12:15,13:05,U2,easyJet,U20824,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
EI1936-352485,2024-07-27,09:15,09:42,EI,Aer Lingus,EI1936,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Regional
BA3370-632995,2024-01-13,11:45,12:45,BA,British Airways,BA3370,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Regional
EI6134-450291,2024-06-12,16:35,17:40,EI,Aer Lingus,EI6134,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Narrowbody
U22971-788336,2024-04-15,13:40,14:02,U2,easyJet,U22971,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Narrowbody
U21790-917989,2024-05-26,23:00,23:44,U2,easyJet,U21790,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
FR6220-037695,2024-07-20,06:35,07:29,FR,Ryanair,FR6220,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Narrowbody
EI4101-582069,2024-10-24,14:35,15:30,EI,Aer Lingus,EI4101,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Regional
BA7913-705663,2024-11-30,12:55,14:07,BA,British Airways,BA7913,LCY,London City Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,627,Widebody
BA3610-527849,2024-06-09,11:05,12:09,BA,British Airways,BA3610,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Regional
FR8121-374642,2024-04-22,22:40,22:57,FR,Ryanair,FR8121,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Regional
BA9875-800823,2024-10-10,20:50,21:51,BA,British Airways,BA9875,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Widebody
EI5312-976830,2024-11-17,10:00,10:48,EI,Aer Lingus,EI5312,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Narrowbody
FR1451-113271,2024-03-12,18:55,20:09,FR,Ryanair,FR1451,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
FR4492-424833,2024-01-31,08:50,09:54,FR,Ryanair,FR4492,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Regional
EI5898-360854,2024-08-28,09:20,10:21,EI,Aer Lingus,EI5898,LGW,London Gatwick Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,561,Widebody
EI0472-573476,2024-01-19,12:10,13:10,EI,Aer Lingus,EI0472,LHR,London Heathrow Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,594,Regional
BA2205-497579,2024-10-01,06:35,07:28,BA,British Airways,BA2205,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody
U22582-975985,2024-06-14,20:05,20:45,U2,easyJet,U22582,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Widebody
EI2529-329683,2024-06-13,08:55,09:25,EI,Aer Lingus,EI2529,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Regional
EI2019-577154,2024-03-27,18:30,19:13,EI,Aer Lingus,EI2019,SNN,Shannon Airport,Shannon,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,281,Narrowbody
EI7795-165002,2024-11-24,04:25,05:38,EI,Aer Lingus,EI7795,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Regional
U29583-463922,2024-04-26,12:35,13:29,U2,easyJet,U29583,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Regional
FR1034-328890,2024-05-31,10:10,11:12,FR,Ryanair,FR1034,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
U27702-785679,2024-03-12,13:05,14:12,U2,easyJet,U27702,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Widebody
FR3128-902271,2024-04-21,10:40,11:53,FR,Ryanair,FR3128,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
U25807-759232,2024-11-08,12:00,12:28,U2,easyJet,U25807,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Regional
U25835-391385,2024-05-10,18:05,19:07,U2,easyJet,U25835,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Regional
FR5227-663930,2024-09-04,05:40,06:06,FR,Ryanair,FR5227,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Widebody
BA9389-577432,2024-03-30,07:15,08:24,BA,British Airways,BA9389,LCY,London City Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,627,Narrowbody
BA809-047653,2024-01-07,02:55,03:59,BA,British Airways,BA809,GLA,Glasgow Airport,Glasgow,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,555,Narrowbody
FR4634-299639,2024-11-12,05:55,06:17,FR,Ryanair,FR4634,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Narrowbody
FR8517-923139,2024-07-14,06:00,07:01,FR,Ryanair,FR8517,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Regional
U2711-905431,2024-08-29,20:20,20:46,U2,easyJet,U2711,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Widebody
FR3185-087457,2024-12-08,16:00,17:03,FR,Ryanair,FR3185,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Widebody
U28108-932538,2024-04-04,16:50,17:44,U2,easyJet,U28108,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Regional
BA8688-484258,2024-08-05,15:40,16:51,BA,British Airways,BA8688,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Widebody
BA1013-847514,2024-03-14,01:35,02:10,BA,British Airways,BA1013,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Narrowbody
BA499-110416,2024-09-14,13:35,14:35,BA,British Airways,BA499,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Regional
U21928-705367,2024-12-10,19:45,20:37,U2,easyJet,U21928,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Narrowbody
FR0316-500694,2024-07-17,20:30,21:29,FR,Ryanair,FR0316,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
BA6418-649242,2024-12-28,02:10,02:59,BA,British Airways,BA6418,GLA,Glasgow Airport,Glasgow,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,457,Narrowbody
BA7205-478209,2024-03-02,12:15,12:31,BA,British Airways,BA7205,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Regional
FR3150-927520,2024-05-20,07:00,08:05,FR,Ryanair,FR3150,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Regional
U23367-406597,2024-01-27,17:35,18:17,U2,easyJet,U23367,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Narrowbody
U25091-013833,2024-10-12,12:25,13:13,U2,easyJet,U25091,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody
FR5624-237752,2024-03-20,10:55,11:29,FR,Ryanair,FR5624,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Narrowbody
FR8766-820511,2024-04-16,14:40,15:44,FR,Ryanair,FR8766,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Narrowbody
BA7297-764527,2024-07-24,01:30,02:02,BA,British Airways,BA7297,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Regional
EI9445-080460,2024-05-27,15:15,15:49,EI,Aer Lingus,EI9445,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Narrowbody
BA9258-978837,2024-05-14,10:25,10:49,BA,British Airways,BA9258,LCY,London City Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,42,Narrowbody
BA8744-556877,2024-09-03,14:35,15:13,BA,British Airways,BA8744,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Regional
FR9477-395727,2024-06-27,20:25,21:30,FR,Ryanair,FR9477,DUB,Dublin Airport,Dublin,Ireland,LCY,London City Airport,London,United Kingdom,478,Widebody
BA6177-668163,2024-02-09,14:40,15:44,BA,British Airways,BA6177,LHR,London Heathrow Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,594,Narrowbody
EI7614-580931,2024-03-08,22:25,23:30,EI,Aer Lingus,EI7614,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Widebody
U23307-661210,2024-08-14,17:55,18:53,U2,easyJet,U23307,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Narrowbody
BA3482-215509,2024-06-01,16:30,17:09,BA,British Airways,BA3482,GLA,Glasgow Airport,Glasgow,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody
EI2843-269931,2024-08-09,16:40,17:15,EI,Aer Lingus,EI2843,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Regional
U23999-773685,2024-01-15,02:10,02:43,U2,easyJet,U23999,SNN,Shannon Airport,Shannon,Ireland,DUB,Dublin Airport,Dublin,Ireland,195,Widebody
FR6244-266655,2024-08-23,04:25,05:06,FR,Ryanair,FR6244,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
FR7668-841399,2024-04-27,00:05,01:08,FR,Ryanair,FR7668,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
EI0933-946684,2024-10-14,18:30,19:20,EI,Aer Lingus,EI0933,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
U21041-318201,2024-04-21,02:10,02:24,U2,easyJet,U21041,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Narrowbody
EI0613-039817,2024-01-11,23:45,00:37,EI,Aer Lingus,EI0613,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Regional
U24835-862384,2024-02-01,17:10,18:02,U2,easyJet,U24835,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Narrowbody
FR4803-173946,2024-02-25,18:00,19:14,FR,Ryanair,FR4803,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Widebody
EI2466-167474,2024-11-09,22:05,23:14,EI,Aer Lingus,EI2466,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Regional
BA520-346416,2024-09-04,01:20,02:30,BA,British Airways,BA520,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
FR943-806026,2024-12-13,03:55,04:40,FR,Ryanair,FR943,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Narrowbody
EI2209-238272,2024-08-04,14:55,15:49,EI,Aer Lingus,EI2209,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
U23384-784525,2024-08-25,07:55,08:59,U2,easyJet,U23384,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Regional
BA4673-272938,2024-11-23,15:55,16:25,BA,British Airways,BA4673,BFS,Belfast International Airport,Belfast,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,176,Narrowbody
EI7322-706082,2024-11-30,21:30,22:36,EI,Aer Lingus,EI7322,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Widebody
BA4954-739431,2024-01-17,10:10,11:07,BA,British Airways,BA4954,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody
FR5749-613992,2024-07-12,22:20,23:26,FR,Ryanair,FR5749,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Regional
BA3960-431953,2024-10-14,15:30,16:38,BA,British Airways,BA3960,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Widebody
EI6693-962960,2024-08-22,17:05,18:10,EI,Aer Lingus,EI6693,LCY,London City Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,627,Narrowbody
U23896-292646,2024-01-30,13:55,14:31,U2,easyJet,U23896,GLA,Glasgow Airport,Glasgow,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,297,Widebody
BA9738-632023,2024-07-22,11:50,12:05,BA,British Airways,BA9738,LGW,London Gatwick Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,40,Regional
U28895-105581,2024-12-27,22:05,23:07,U2,easyJet,U28895,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody
BA3122-699784,2024-10-08,17:35,18:20,BA,British Airways,BA3122,DUB,Dublin Airport,Dublin,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,297,Widebody
U28634-508473,2024-05-29,18:00,19:04,U2,easyJet,U28634,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Narrowbody
EI0331-395896,2024-05-29,03:00,04:05,EI,Aer Lingus,EI0331,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody
BA2105-826481,2024-04-30,16:05,17:14,BA,British Airways,BA2105,BFS,Belfast International Airport,Belfast,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,523,Regional
FR7905-204308,2024-05-25,01:30,02:34,FR,Ryanair,FR7905,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
BA2250-121815,2024-02-06,10:15,11:17,BA,British Airways,BA2250,BFS,Belfast International Airport,Belfast,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,561,Widebody
EI3767-818613,2024-09-03,01:35,02:34,EI,Aer Lingus,EI3767,SNN,Shannon Airport,Shannon,Ireland,GLA,Glasgow Airport,Glasgow,United Kingdom,457,Regional
FR7211-086133,2024-03-17,13:30,14:40,FR,Ryanair,FR7211,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Regional
