,flight_id,precipitation,wind,dep_delay,carrier,origin_name,origin_city,origin_country,dest_name,dest_city,dest_country,distance_km,aircraft_type,scheduled_departure,scheduled_arrival,delayed,departure_hour,departure_dayofweek,departure_month,flight_duration_mins,bad_weather,origin_flight_count,peak_hour_departure
380,EI9436-882816,2,1,0,Aer Lingus,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-09-09 20:45:00,2024-09-09 21:10:00,0,20,0,9,25.0,1,432,0
381,U28248-878199,2,1,0,easyJet,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Widebody,2024-03-05 14:35:00,2024-03-05 15:31:00,0,14,1,3,56.0,1,411,0
382,EI0347-085772,1,2,6,Aer Lingus,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Widebody,2024-08-09 00:15:00,2024-08-09 01:11:00,0,0,4,8,56.0,1,445,0
383,EI8865-080462,0,3,2,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Narrowbody,2024-12-23 08:25:00,2024-12-23 09:14:00,0,8,0,12,49.0,1,435,1
384,U27359-296775,0,2,10,easyJet,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Narrowbody,2024-08-07 07:05:00,2024-08-07 07:59:00,0,7,2,8,54.0,1,435,1
385,FR0382-104646,0,1,15,Ryanair,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-01-16 16:20:00,2024-01-16 17:32:00,1,16,1,1,72.0,0,400,1
386,EI5139-437516,0,1,0,Aer Lingus,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Widebody,2024-07-21 07:00:00,2024-07-21 08:09:00,0,7,6,7,69.0,0,458,1
387,BA6477-972034,0,0,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Narrowbody,2024-10-30 01:10:00,2024-10-30 02:15:00,0,1,2,10,65.0,0,435,0
388,EI2593-308233,1,1,9,Aer Lingus,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-08-22 04:10:00,2024-08-22 05:12:00,0,4,3,8,62.0,0,445,0
389,EI3161-285422,2,2,3,Aer Lingus,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Regional,2024-01-14 19:30:00,2024-01-14 20:36:00,0,19,6,1,66.0,1,445,1
390,U24712-968591,1,0,22,easyJet,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Widebody,2024-07-16 23:00:00,2024-07-16 23:22:00,1,23,1,7,22.0,0,445,0
391,BA3101-383449,0,0,6,British Airways,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Regional,2024-03-14 10:50:00,2024-03-14 11:52:00,0,10,3,3,62.0,0,458,0
392,EI5854-806382,0,1,4,Aer Lingus,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Widebody,2024-07-11 12:30:00,2024-07-11 13:26:00,0,12,3,7,56.0,0,411,0
393,U22012-374628,1,3,10,easyJet,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-09-25 10:00:00,2024-09-25 11:02:00,0,10,2,9,62.0,1,432,0
394,FR4334-323803,3,2,29,Ryanair,London Heathrow Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,594,Widebody,2024-01-03 17:40:00,2024-01-03 18:44:00,1,17,2,1,64.0,1,411,1
395,BA2136-453168,0,3,5,British Airways,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-05-28 12:20:00,2024-05-28 12:55:00,0,12,1,5,35.0,1,419,0
396,BA8318-671689,0,3,8,British Airways,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Regional,2024-01-12 13:10:00,2024-01-12 13:36:00,0,13,4,1,26.0,1,419,0
397,BA8981-435782,0,2,0,British Airways,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Regional,2024-01-02 09:05:00,2024-01-02 09:39:00,0,9,1,1,34.0,1,400,1
398,U24461-031330,0,1,23,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Regional,2024-01-09 18:15:00,2024-01-09 19:15:00,1,18,1,1,60.0,0,445,1
399,FR2267-951803,0,0,3,Ryanair,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Regional,2024-07-22 20:10:00,2024-07-22 21:18:00,0,20,0,7,68.0,0,400,0
400,U22833-327961,2,0,25,easyJet,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Narrowbody,2024-07-27 06:50:00,2024-07-27 07:53:00,1,6,5,7,63.0,1,445,1
401,BA6856-747269,0,2,4,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-10-14 14:55:00,2024-10-14 15:08:00,0,14,0,10,13.0,1,411,0
402,FR4172-237950,0,1,2,Ryanair,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Widebody,2024-08-28 14:05:00,2024-08-28 14:24:00,0,14,2,8,19.0,0,432,0
403,EI1005-110371,0,2,8,Aer Lingus,London City Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,42,Regional,2024-02-11 10:40:00,2024-02-11 11:04:00,0,10,6,2,24.0,1,445,0
404,EI8789-727869,0,0,5,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Widebody,2024-02-26 08:50:00,2024-02-26 09:29:00,0,8,0,2,39.0,0,400,1
405,FR2047-929033,1,0,0,Ryanair,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Regional,2024-06-24 12:05:00,2024-06-24 12:27:00,0,12,0,6,22.0,0,432,0
406,FR8708-372057,0,0,2,Ryanair,Belfast International Airport,Belfast,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,176,Regional,2024-04-21 08:45:00,2024-04-21 09:22:00,0,8,6,4,37.0,0,400,1
407,FR7987-903314,1,1,45,Ryanair,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Regional,2024-09-24 19:15:00,2024-09-24 20:29:00,1,19,1,9,74.0,0,458,1
408,BA2817-408156,0,1,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Widebody,2024-09-16 16:00:00,2024-09-16 17:03:00,0,16,0,9,63.0,0,435,1
409,EI8277-331926,2,2,38,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Regional,2024-02-02 20:20:00,2024-02-02 21:08:00,1,20,4,2,48.0,1,435,0
410,EI1804-181529,3,2,15,Aer Lingus,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-08-23 17:20:00,2024-08-23 17:54:00,1,17,4,8,34.0,1,419,1
411,U29666-966312,0,1,34,easyJet,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-06-13 16:50:00,2024-06-13 17:48:00,1,16,3,6,58.0,0,445,1
412,U22465-270405,1,1,4,easyJet,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Narrowbody,2024-07-05 11:15:00,2024-07-05 11:39:00,0,11,4,7,24.0,0,432,0
413,BA5557-295995,1,2,5,British Airways,London Heathrow Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,594,Narrowbody,2024-11-22 17:50:00,2024-11-22 18:54:00,0,17,4,11,64.0,1,411,1
414,BA3492-541594,0,2,2,British Airways,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Narrowbody,2024-02-15 09:50:00,2024-02-15 10:49:00,0,9,3,2,59.0,1,435,1
415,U22596-660115,2,1,8,easyJet,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Regional,2024-02-03 15:50:00,2024-02-03 16:55:00,0,15,5,2,65.0,1,419,0
416,BA2640-506531,1,1,43,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-08-11 10:30:00,2024-08-11 10:47:00,1,10,6,8,17.0,0,411,0
417,EI2496-207544,0,1,2,Aer Lingus,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-12-10 00:30:00,2024-12-10 00:44:00,0,0,1,12,14.0,0,411,0
418,U25069-602994,0,1,6,easyJet,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Widebody,2024-09-11 20:10:00,2024-09-11 21:17:00,0,20,2,9,67.0,0,400,0
419,U20640-649873,2,1,0,easyJet,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody,2024-06-23 01:50:00,2024-06-23 02:46:00,0,1,6,6,56.0,1,458,0
420,U23453-538339,0,1,5,easyJet,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Regional,2024-08-22 19:00:00,2024-08-22 19:50:00,0,19,3,8,50.0,0,419,1
421,U20036-712771,0,1,3,easyJet,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Regional,2024-07-26 17:00:00,2024-07-26 18:08:00,0,17,4,7,68.0,0,400,1
422,BA1493-448883,0,1,4,British Airways,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Widebody,2024-10-19 18:35:00,2024-10-19 18:51:00,0,18,5,10,16.0,0,432,1
423,FR8317-715211,1,3,10,Ryanair,Shannon Airport,Shannon,Ireland,Belfast International Airport,Belfast,United Kingdom,281,Widebody,2024-02-19 12:05:00,2024-02-19 12:49:00,0,12,0,2,44.0,1,458,0
424,BA1598-239509,0,0,0,British Airways,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Widebody,2024-05-04 10:55:00,2024-05-04 11:37:00,0,10,5,5,42.0,0,419,0
425,BA8291-436989,0,2,0,British Airways,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Regional,2024-01-18 20:40:00,2024-01-18 21:40:00,0,20,3,1,60.0,1,419,0
426,FR1363-920185,0,0,6,Ryanair,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Narrowbody,2024-01-07 21:15:00,2024-01-07 21:33:00,0,21,6,1,18.0,0,411,0
427,U27333-697751,1,0,4,easyJet,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Widebody,2024-11-01 16:25:00,2024-11-01 17:01:00,0,16,4,11,36.0,0,435,1
428,BA2509-040015,2,1,7,British Airways,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Regional,2024-04-13 18:55:00,2024-04-13 19:50:00,0,18,5,4,55.0,1,419,1
429,U21829-038305,2,2,20,easyJet,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Narrowbody,2024-11-03 02:35:00,2024-11-03 03:42:00,1,2,6,11,67.0,1,400,0
430,BA1095-259590,1,1,1,British Airways,London City Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,478,Widebody,2024-02-24 22:00:00,2024-02-24 22:53:00,0,22,5,2,53.0,0,445,0
431,EI9797-537939,2,1,9,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Widebody,2024-04-09 08:05:00,2024-04-09 09:07:00,0,8,1,4,62.0,1,445,1
432,FR6585-484679,1,0,4,Ryanair,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Narrowbody,2024-04-23 06:30:00,2024-04-23 07:42:00,0,6,1,4,72.0,0,458,1
433,BA0432-669978,0,2,5,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Regional,2024-11-15 11:25:00,2024-11-15 11:49:00,0,11,4,11,24.0,1,411,0
434,EI6664-843705,0,1,5,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Regional,2024-12-13 21:00:00,2024-12-13 21:57:00,0,21,4,12,57.0,0,435,0
435,FR7565-339485,1,2,4,Ryanair,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Regional,2024-07-10 12:15:00,2024-07-10 13:32:00,0,12,2,7,77.0,1,445,0
436,BA7478-576473,0,2,0,British Airways,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Widebody,2024-08-14 16:15:00,2024-08-14 16:49:00,0,16,2,8,34.0,1,419,1
437,U20457-374775,1,2,15,easyJet,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Narrowbody,2024-09-15 12:35:00,2024-09-15 13:43:00,1,12,6,9,68.0,1,400,0
438,BA5120-037556,1,1,4,British Airways,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Widebody,2024-09-11 13:55:00,2024-09-11 14:23:00,0,13,2,9,28.0,0,435,0
439,EI5320-419849,0,0,0,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Narrowbody,2024-01-06 15:20:00,2024-01-06 16:18:00,0,15,5,1,58.0,0,400,0
440,FR7389-581967,0,1,4,Ryanair,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Narrowbody,2024-10-10 18:05:00,2024-10-10 19:10:00,0,18,3,10,65.0,0,419,1
441,FR9117-131184,2,1,37,Ryanair,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-03-08 06:30:00,2024-03-08 07:45:00,1,6,4,3,75.0,1,432,1
442,FR8863-329112,0,0,1,Ryanair,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-01-05 19:15:00,2024-01-05 20:27:00,0,19,4,1,72.0,0,458,1
443,U2108-284954,0,1,1,easyJet,Belfast International Airport,Belfast,United Kingdom,London Gatwick Airport,London,United Kingdom,561,Widebody,2024-01-28 17:05:00,2024-01-28 18:02:00,0,17,6,1,57.0,0,400,1
444,EI7144-173887,0,1,9,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Widebody,2024-10-15 17:40:00,2024-10-15 18:16:00,0,17,1,10,36.0,0,435,1
445,U26465-724507,2,1,3,easyJet,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Regional,2024-01-16 19:15:00,2024-01-16 19:53:00,0,19,1,1,38.0,1,419,1
446,U20240-592642,0,3,10,easyJet,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Regional,2024-09-18 12:50:00,2024-09-18 13:06:00,0,12,2,9,16.0,1,432,0
447,BA9992-003356,0,0,0,British Airways,Belfast International Airport,Belfast,United Kingdom,London Heathrow Airport,London,United Kingdom,523,Narrowbody,2024-12-18 18:00:00,2024-12-18 19:01:00,0,18,2,12,61.0,0,400,1
448,FR8752-159972,1,3,9,Ryanair,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Regional,2024-03-05 23:40:00,2024-03-05 00:04:00,0,23,1,3,-1416.0,1,419,0
449,U25049-068864,0,1,34,easyJet,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Regional,2024-11-22 03:25:00,2024-11-22 04:22:00,1,3,4,11,57.0,0,419,0
450,BA247-504179,2,2,0,British Airways,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Regional,2024-12-01 14:30:00,2024-12-01 14:44:00,0,14,6,12,14.0,1,445,0
451,BA1012-952162,0,1,1,British Airways,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody,2024-08-12 18:40:00,2024-08-12 19:42:00,0,18,0,8,62.0,0,458,1
452,FR7452-509655,1,0,2,Ryanair,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody,2024-11-17 01:45:00,2024-11-17 02:57:00,0,1,6,11,72.0,0,432,0
453,EI2114-324222,1,2,1,Aer Lingus,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Regional,2024-03-13 17:10:00,2024-03-13 17:29:00,0,17,2,3,19.0,1,432,1
454,BA1237-515370,3,1,0,British Airways,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Narrowbody,2024-02-13 23:50:00,2024-02-13 00:46:00,0,23,1,2,-1384.0,1,400,0
455,FR1896-628379,0,0,3,Ryanair,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Widebody,2024-12-01 18:50:00,2024-12-01 19:04:00,0,18,6,12,14.0,0,432,1
456,EI7848-873658,0,1,8,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody,2024-09-21 22:50:00,2024-09-21 23:52:00,0,22,5,9,62.0,0,445,0
457,U27399-722457,2,0,9,easyJet,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Widebody,2024-01-10 13:30:00,2024-01-10 14:36:00,0,13,2,1,66.0,1,445,0
458,EI2584-042683,0,0,22,Aer Lingus,London City Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,478,Widebody,2024-12-13 06:55:00,2024-12-13 07:54:00,1,6,4,12,59.0,0,445,1
459,U21165-086252,1,0,3,easyJet,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Widebody,2024-04-28 11:55:00,2024-04-28 13:00:00,0,11,6,4,65.0,0,411,0
460,BA6672-598764,1,0,3,British Airways,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Regional,2024-04-17 09:35:00,2024-04-17 10:52:00,0,9,2,4,77.0,0,432,1
461,EI8641-003152,1,0,6,Aer Lingus,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Narrowbody,2024-12-11 11:35:00,2024-12-11 12:49:00,0,11,2,12,74.0,0,432,0
462,EI2812-644928,0,1,31,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Narrowbody,2024-06-20 22:45:00,2024-06-20 23:21:00,1,22,3,6,36.0,0,419,0
463,BA5841-488233,1,1,19,British Airways,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Widebody,2024-06-29 21:40:00,2024-06-29 22:10:00,1,21,5,6,30.0,0,419,0
464,U28965-415164,0,3,5,easyJet,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Narrowbody,2024-06-02 16:20:00,2024-06-02 17:29:00,0,16,6,6,69.0,1,435,1
465,BA5521-278592,1,1,9,British Airways,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Widebody,2024-06-02 13:05:00,2024-06-02 14:11:00,0,13,6,6,66.0,0,458,0
466,U21219-348892,0,2,2,easyJet,Shannon Airport,Shannon,Ireland,Belfast International Airport,Belfast,United Kingdom,281,Regional,2024-12-18 14:10:00,2024-12-18 14:43:00,0,14,2,12,33.0,1,458,0
467,BA3254-458534,0,2,19,British Airways,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Regional,2024-02-13 18:25:00,2024-02-13 19:19:00,1,18,1,2,54.0,1,419,1
468,BA2337-115645,0,1,4,British Airways,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Regional,2024-06-15 12:00:00,2024-06-15 13:06:00,0,12,5,6,66.0,0,445,0
469,U20840-398574,1,1,9,easyJet,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody,2024-01-27 11:50:00,2024-01-27 13:00:00,0,11,5,1,70.0,0,445,0
470,EI2218-352401,1,1,39,Aer Lingus,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Narrowbody,2024-04-03 08:05:00,2024-04-03 09:08:00,1,8,2,4,63.0,0,432,1
471,EI7599-201301,1,0,2,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Heathrow Airport,London,United Kingdom,555,Widebody,2024-08-07 13:10:00,2024-08-07 14:17:00,0,13,2,8,67.0,0,435,0
472,EI2268-249856,0,0,0,Aer Lingus,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Regional,2024-10-29 06:10:00,2024-10-29 07:20:00,0,6,1,10,70.0,0,445,1
473,BA2861-725423,0,2,3,British Airways,Shannon Airport,Shannon,Ireland,London Heathrow Airport,London,United Kingdom,594,Regional,2024-11-20 04:25:00,2024-11-20 05:31:00,0,4,2,11,66.0,1,458,0
474,EI4958-110784,2,0,2,Aer Lingus,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-01-28 17:15:00,2024-01-28 17:31:00,0,17,6,1,16.0,1,432,1
475,EI351-905512,0,1,0,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-01-08 08:45:00,2024-01-08 09:29:00,0,8,0,1,44.0,0,400,1
476,U22216-244501,0,2,4,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Narrowbody,2024-10-29 15:50:00,2024-10-29 16:05:00,0,15,1,10,15.0,1,411,0
477,FR2350-689480,1,2,20,Ryanair,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Widebody,2024-10-20 04:15:00,2024-10-20 04:41:00,1,4,6,10,26.0,1,400,0
478,BA1788-465195,0,2,3,British Airways,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-07-16 16:50:00,2024-07-16 17:13:00,0,16,1,7,23.0,1,445,1
479,BA2616-288210,1,1,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Narrowbody,2024-05-18 06:10:00,2024-05-18 07:01:00,0,6,5,5,51.0,0,435,1
480,BA2316-523008,2,0,0,British Airways,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-07-26 14:05:00,2024-07-26 15:09:00,0,14,4,7,64.0,1,432,0
481,U26445-902369,0,2,1,easyJet,Belfast International Airport,Belfast,United Kingdom,London City Airport,London,United Kingdom,546,Narrowbody,2024-08-26 23:40:00,2024-08-26 00:46:00,0,23,0,8,-1374.0,1,400,0
482,U22261-280624,2,2,51,easyJet,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Narrowbody,2024-02-04 18:55:00,2024-02-04 19:15:00,1,18,6,2,20.0,1,432,1
483,FR995-069595,1,1,4,Ryanair,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Regional,2024-03-29 01:50:00,2024-03-29 02:04:00,0,1,4,3,14.0,0,432,0
484,FR8588-810196,2,2,2,Ryanair,London Gatwick Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,40,Regional,2024-04-17 12:05:00,2024-04-17 12:31:00,0,12,2,4,26.0,1,432,0
485,BA0995-366896,0,0,30,British Airways,London Gatwick Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,561,Narrowbody,2024-07-05 10:15:00,2024-07-05 11:25:00,1,10,4,7,70.0,0,432,0
486,BA3277-637574,1,1,3,British Airways,Shannon Airport,Shannon,Ireland,Glasgow Airport,Glasgow,United Kingdom,457,Narrowbody,2024-06-14 04:35:00,2024-06-14 05:30:00,0,4,4,6,55.0,0,458,0
487,EI1090-289481,3,2,24,Aer Lingus,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Widebody,2024-12-02 16:35:00,2024-12-02 16:55:00,1,16,0,12,20.0,1,445,1
488,BA4309-590053,0,2,0,British Airways,Glasgow Airport,Glasgow,United Kingdom,Shannon Airport,Shannon,Ireland,457,Widebody,2024-11-29 17:00:00,2024-11-29 17:55:00,0,17,4,11,55.0,1,435,1
489,FR1274-537171,0,1,1,Ryanair,London Heathrow Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,594,Regional,2024-11-18 19:30:00,2024-11-18 20:44:00,0,19,0,11,74.0,0,411,1
490,U28389-953591,0,0,37,easyJet,Dublin Airport,Dublin,Ireland,London City Airport,London,United Kingdom,478,Widebody,2024-08-07 08:45:00,2024-08-07 09:44:00,1,8,2,8,59.0,0,419,1
491,EI7277-999430,0,1,4,Aer Lingus,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-06-08 20:10:00,2024-06-08 21:21:00,0,20,5,6,71.0,0,432,0
492,BA5844-537929,0,0,7,British Airways,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Narrowbody,2024-02-18 06:45:00,2024-02-18 07:11:00,0,6,6,2,26.0,0,445,1
493,BA7620-142308,0,0,10,British Airways,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Widebody,2024-11-29 19:35:00,2024-11-29 20:03:00,0,19,4,11,28.0,0,419,1
494,EI6442-805553,0,0,6,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody,2024-07-11 06:55:00,2024-07-11 07:28:00,0,6,3,7,33.0,0,435,1
495,U23921-471832,0,2,30,easyJet,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Regional,2024-10-13 10:40:00,2024-10-13 11:17:00,1,10,6,10,37.0,1,400,0
496,EI9951-525754,0,1,16,Aer Lingus,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Widebody,2024-03-25 01:10:00,2024-03-25 02:24:00,1,1,0,3,74.0,0,445,0
497,FR019-980345,0,1,0,Ryanair,Dublin Airport,Dublin,Ireland,Glasgow Airport,Glasgow,United Kingdom,297,Widebody,2024-07-11 06:40:00,2024-07-11 07:29:00,0,6,3,7,49.0,0,419,1
498,U21325-165072,0,2,1,easyJet,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Regional,2024-06-02 09:40:00,2024-06-02 10:54:00,0,9,6,6,74.0,1,445,1
499,U22820-071834,0,1,3,easyJet,London City Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,627,Narrowbody,2024-07-24 22:50:00,2024-07-24 23:52:00,0,22,2,7,62.0,0,445,0
500,BA0896-562870,0,3,31,British Airways,Glasgow Airport,Glasgow,United Kingdom,Dublin Airport,Dublin,Ireland,297,Widebody,2024-06-25 13:30:00,2024-06-25 14:13:00,1,13,1,6,43.0,1,435,0
501,EI3844-645977,0,3,0,Aer Lingus,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Narrowbody,2024-03-29 14:15:00,2024-03-29 15:27:00,0,14,4,3,72.0,1,445,0
502,EI8232-149949,0,0,4,Aer Lingus,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Widebody,2024-05-08 18:15:00,2024-05-08 18:37:00,0,18,2,5,22.0,0,432,1
503,U21741-326271,2,0,32,easyJet,Glasgow Airport,Glasgow,United Kingdom,Belfast International Airport,Belfast,United Kingdom,176,Narrowbody,2024-09-01 13:00:00,2024-09-01 13:38:00,1,13,6,9,38.0,1,435,0
504,EI7278-873724,0,1,23,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Regional,2024-03-06 20:50:00,2024-03-06 22:04:00,1,20,2,3,74.0,0,435,0
